name,number
New Hampshire,29
AA,2
Arizona,89
Mississippi,13
Hawaii,20
Utah,31
Nebraska,43
Marshall Islands,0
Georgia,348
Massachusetts,194
American Samoa,0
Indiana,210
Missouri,260
North Carolina,120
Pennsylvania,240
Texas,350
Wisconsin,189
Montana,8
Tennessee,106
South Carolina,34
Rhode Island,9
Alaska,10
District Of Columbia,395
Arkansas,40
Palau,0
Ohio,421
Guam,2
West Virginia,65
South Dakota,20
Federated States Of Micronesia,0
Virgin Islands,0
Maryland,226
Delaware,13
Maine,32
Colorado,113
Connecticut,124
Washington,140
Alabama,60
Wyoming,8
AE,9
Louisiana,133
Kansas,58
California,1310
Iowa,271
Virginia,451
AP,5
Oklahoma,46
Kentucky,215
New York,1221
New Mexico,34
New Jersey,415
Florida,273
North Dakota,6
Puerto Rico,27
Northern Mariana Islands,2
Michigan,279
Minnesota,241
Vermont,22
Idaho,23
Nevada,20
Illinois,30320
Oregon,52
